#Chrom	Start	End	gene	Strand
chr1	243419319	243419320	SDCCAG8	+
chr1	244006552	244006553	AKT3	-
chr1	243790528	243790529	Unk..100506975	-
chr1	244080703	244080704	LOC339529	+
chr1	244214560	244214561	ZBTB18	+
chr1	244227631	244227632	LOC440742	+
chr1	244515936	244515937	C1orf100	+
chr1	244615412	244615413	ADSS	-
chr1	244624672	244624673	CATSPERE	+
chr1	244816351	244816352	DESI2	+
chr1	244998638	244998639	COX20	+
chr1	245010242	245010243	Unk..284702	-
chr1	245027826	245027827	HNRNPU	-
chr1	245133170	245133171	EFCAB2	+
chr1	245318286	245318287	KIF26B	+
chr1	246670643	246670644	SMYD3	-
chr1	246271927	246271928	Unk..100507030	+
chr1	246729564	246729565	TFB2M	-
chr1	246729638	246729639	CNST	+
chr1	246887377	246887378	SCCPDH	+
chr1	246950300	246950301	KIF28P	-
chr1	246952918	246952919	LINC01341	+
chr1	247094725	247094726	AHCTF1	-
chr1	247142629	247142630	Unk..100507048	-
chr1	247171354	247171355	ZNF695	-
chr1	247242114	247242115	ZNF670	-
chr1	247267673	247267674	ZNF669	-
chr1	247275718	247275719	C1orf229	-
chr1	247335317	247335318	ZNF124	-
chr1	247419373	247419374	VN1R5	+
chr1	247495044	247495045	ZNF496	-
chr1	247579457	247579458	NLRP3	+
chr1	247615283	247615284	OR2B11	-
chr1	247654369	247654370	OR2W5	+
chr1	247694105	247694106	GCSAML.AS1	-
chr1	247697140	247697141	OR2C3	-
chr1	247712450	247712451	GCSAML	+
chr1	247804164	247804165	Unk..100507070	-
chr1	247751661	247751662	OR2G2	+
chr1	247768887	247768888	OR2G3	+
chr1	247836342	247836343	OR13G1	-
chr1	247876056	247876057	OR6F1	-
chr1	247921707	247921708	OR1C1	-
chr1	247979030	247979031	OR14A16	-
chr1	248005197	248005198	OR11L1	-
chr1	248020500	248020501	TRIM58	+
chr1	248058888	248058889	OR2W3	+
chr1	248084319	248084320	OR2T8	+
chr1	248100492	248100493	OR2L13	+
chr1	248112159	248112160	OR2L8	+
chr1	248128633	248128634	OR2AK2	+
chr1	248153568	248153569	OR2L1P	+
chr1	248201473	248201474	OR2L2	+
chr1	248223983	248223984	OR2L3	+
chr1	248285437	248285438	OR2M1P	+
chr1	248308449	248308450	OR2M5	+
chr1	248343287	248343288	OR2M2	+
chr1	248366369	248366370	OR2M3	+
chr1	248402230	248402231	OR2M4	+
chr1	248437115	248437116	OR2T33	-
chr1	248458879	248458880	OR2T12	-
chr1	248487869	248487870	OR2M7	-
chr1	248512076	248512077	OR14C36	+
chr1	248524882	248524883	OR2T4	+
chr1	248550909	248550910	OR2T6	+
chr1	248569295	248569296	OR2T1	+
chr1	248616098	248616099	OR2T2	+
chr1	248636651	248636652	OR2T3	+
chr1	248651889	248651890	OR2T5	+
chr1	248684947	248684948	OR2G6	+
chr1	248722773	248722774	OR2T29	-
chr1	248738057	248738058	OR2T34	-
chr1	248757068	248757069	OR2T10	-
chr1	248790428	248790429	OR2T11	-
chr1	248802558	248802559	OR2T35	-
chr1	248814184	248814185	OR2T27	-
chr1	248845604	248845605	OR14I1	-
chr1	249120153	249120154	SH3BP5L	-
chr1	249120575	249120576	MIR3124	+
chr1	249132529	249132530	ZNF672	+
chr1	249153314	249153315	ZNF692	-
chr1	249200441	249200442	PGBD2	+
chr10	95503	95504	TUBB8	-
chr10	180423	180424	ZMYND11	+
chr10	735607	735608	DIP2C	-
chr10	671011	671012	Unk..100506940	-
chr10	695887	695888	PRR26	+
chr10	931701	931702	LARP4B	-
chr10	1034280	1034281	Unk..100288619	-
chr10	1034348	1034349	GTPBP4	+
chr10	1071798	1071799	IDI2	-
chr10	1068576	1068577	IDI2.AS1	+
chr10	1095060	1095061	IDI1	-
chr10	1102775	1102776	WDR37	+
chr10	1205707	1205708	LINC00200	+
chr10	1779717	1779718	ADARB2	-
chr10	1234248	1234249	Unk..100507019	-
chr10	1554497	1554498	Unk..642384	-
chr10	1568824	1568825	ADARB2.AS1	+
chr10	3109751	3109752	PFKP	+
chr10	3215002	3215003	PITRM1	-
chr10	3183863	3183864	PITRM1.AS1	+
chr10	3827472	3827473	KLF6	-
chr10	4448660	4448661	LINC00703	+
chr10	4720261	4720262	LINC00704	-
chr10	4698347	4698348	LINC00705	+
chr10	4868401	4868402	AKR1E2	+
chr10	4958464	4958465	AKR1C6P	-
chr10	5005453	5005454	AKR1C1	+
chr10	5060206	5060207	AKR1C2	-
chr10	5136567	5136568	AKR1C3	+
chr10	5227149	5227150	AKR1C8P	-
chr10	5238797	5238798	AKR1C4	+
chr10	5406975	5406976	UCN3	+
chr10	5446792	5446793	TUBAL3	-
chr10	5454517	5454518	NET1	+
chr10	5541532	5541533	CALML5	-
chr10	5566923	5566924	CALML3	+
chr10	5708557	5708558	ASB13	-
chr10	5726800	5726801	FAM208B	+
chr10	5855511	5855512	GDI2	-
chr10	5931859	5931860	ANKRD16	-
chr10	5932213	5932214	FBXO18	+
chr10	6020141	6020142	IL15RA	-
chr10	6104332	6104333	IL2RA	-
chr10	6130948	6130949	RBM17	+
chr10	6186842	6186843	PFKFB3	+
chr10	6194158	6194159	MIR3155A	+
chr10	6392282	6392283	LOC399716	+
chr10	6557110	6557111	PRKCQ	-
chr10	6622386	6622387	PRKCQ.AS1	+
chr10	6821559	6821560	LINC00707	+
chr10	7453449	7453450	SFMBT2	-
chr10	7708960	7708961	ITIH5	-
chr10	7745235	7745236	ITIH2	+
chr10	7829943	7829944	KIN	-
chr10	7830092	7830093	ATP5C1	+
chr10	7860672	7860673	TAF3	+
chr10	8095446	8095447	GATA3.AS1	-
chr10	8096666	8096667	GATA3	+
chr10	8302768	8302769	LINC00708	-
chr10	9317575	9317576	LINC00709	+
chr10	10836876	10836877	SFTA1P	-
chr10	10994125	10994126	LINC00710	-
chr10	11047258	11047259	CELF2	+
chr10	11361821	11361822	CELF2.AS1	-
chr10	11653678	11653679	USP6NL	-
chr10	11615494	11615495	Unk..100507213	-
chr10	11715226	11715227	Unk..100507228	+
chr10	11784355	11784356	ECHDC3	+
chr10	11865396	11865397	PROSER2	+
chr10	11936698	11936699	PROSER2.AS1	-
chr10	12085022	12085023	UPF2	-
chr10	12110933	12110934	DHTKD1	+
chr10	12171639	12171640	SEC61A2	+
chr10	12238142	12238143	NUDT5	-
chr10	12237960	12237961	CDC123	+
chr10	12391582	12391583	CAMK1D	+
chr10	12767351	12767352	MIR548Q	-
chr10	12875132	12875133	Unk..283070	+
chr10	13043703	13043704	CCDC3	-
chr10	13142081	13142082	OPTN	+
chr10	13203553	13203554	MCM10	+
chr10	13259330	13259331	RNU6.6P	+
chr10	13276330	13276331	UCMA	-
chr10	13342129	13342130	PHYH	-
chr10	13390279	13390280	SEPHS1	-
chr10	13544975	13544976	BEND7	-
chr10	13628938	13628939	PRPF18	+
chr10	13673332	13673333	Unk..100507260	+
chr10	14372865	14372866	FRMD4A	-
chr10	14425275	14425276	MIR4293	-
chr10	14478574	14478575	MIR1265	+
chr10	14816895	14816896	FAM107B	-
chr10	14568846	14568847	Unk..100507309	-
chr10	14608831	14608832	Unk..100507281	-
chr10	14879982	14879983	CDNF	-
chr10	14880260	14880261	HSPA14	+
chr10	14920781	14920782	SUV39H2	+
chr10	14996093	14996094	DCLRE1C	-
chr10	15001437	15001438	MEIG1	+
chr10	15077423	15077424	Unk..100289151	-
chr10	15085894	15085895	OLAH	+
chr10	15130774	15130775	ACBD7	-
chr10	15139317	15139318	C10orf111	-
chr10	15139181	15139182	RPP38	+
chr10	15210694	15210695	NMT2	-
chr10	15197345	15197346	PPIAP30	-
chr10	15413057	15413058	FAM171A1	-
chr10	15761769	15761770	ITGA8	-
chr10	15902518	15902519	MINDY3	-
chr10	16478966	16478967	PTER	+
chr10	16564003	16564004	C1QL3	-
chr10	16859452	16859453	RSU1	-
chr10	17171815	17171816	CUBN	-
chr10	17244069	17244070	TRDMT1	-
chr10	17268896	17268897	VIM.AS1	-
chr10	17270257	17270258	VIM	+
chr10	17496253	17496254	ST8SIA6	-
chr10	17428934	17428935	ST8SIA6.AS1	+
chr10	17659372	17659373	HACD1	-
chr10	17686123	17686124	STAM	+
chr10	17794250	17794251	TMEM236	+
chr10	17851361	17851362	Unk..414308	+
chr10	17887106	17887107	Unk..574446	+
chr10	18041261	18041262	Unk..100289299	+
chr10	18098351	18098352	MRC1	+
chr10	18134035	18134036	MIR511	+
chr10	18240767	18240768	SLC39A12	+
chr10	18429605	18429606	CACNB2	+
chr10	18833315	18833316	Unk..100507383	-
chr10	18940549	18940550	NSUN6	-
chr10	18948312	18948313	ARL5B	+
chr10	19392543	19392544	MALRD1	+
chr10	20105371	20105372	PLXDC2	+
chr10	21463115	21463116	NEBL	-
chr10	21435487	21435488	C10orf113	-
chr10	21463230	21463231	NEBL.AS1	+
chr10	21610889	21610890	RNU6.15P	+
chr10	21786212	21786213	CASC10	-
chr10	21785569	21785570	MIR1915	-
chr10	21814610	21814611	SKIDA1	-
chr10	21823101	21823102	MLLT10	+
chr10	21932638	21932639	Unk..100507430	-
chr10	21962832	21962833	Unk..100507416	-
chr10	22292649	22292650	DNAJC1	-
chr10	22199481	22199482	Unk..100507445	-
chr10	22498911	22498912	EBLN1	-
chr10	22605298	22605299	COMMD3	+
chr10	22610005	22610006	BMI1	+
chr10	22634398	22634399	SPAG6	+
chr10	22726857	22726858	LOC100499489	-
chr10	22726014	22726015	Unk..100289455	+
chr10	23003502	23003503	PIP4K2A	-
chr10	22844137	22844138	Unk..100507509	-
chr10	23216953	23216954	ARMC3	+
chr10	23384426	23384427	MSRB2	+
chr10	23481459	23481460	PTF1A	+
chr10	23633771	23633772	C10orf67	-
chr10	23728197	23728198	OTUD1	+
chr10	23983674	23983675	KIAA1217	+
chr10	24536050	24536051	PRINS	+
chr10	24564613	24564614	MIR603	+
chr10	25012596	25012597	ARHGAP21	-
chr10	25241532	25241533	PRTFDC1	-
chr10	25305029	25305030	ENKUR	-
chr10	25305507	25305508	THNSL1	+
chr10	25465204	25465205	GPR158.AS1	-
chr10	25464289	25464290	GPR158	+
chr10	25940703	25940704	Unk..100507531	+
chr10	26223001	26223002	MYO3A	+
chr10	26505235	26505236	GAD2	+
chr10	26727265	26727266	APBB1IP	+
chr10	26878793	26878794	FAM238A	+
chr10	26932036	26932037	FAM238B	+
chr10	26986594	26986595	PDSS1	+
chr10	27150015	27150016	ABI1	-
chr10	27230929	27230930	FAM238C	-
chr10	27260826	27260827	Unk..100289548	-
chr10	27389426	27389427	ANKRD26	-
chr10	27443320	27443321	YME1L1	-
chr10	27443752	27443753	MASTL	+
chr10	27531067	27531068	ACBD5	-
chr10	27541234	27541235	LRRC37A6P	-
chr10	27551924	27551925	Unk..100288039	+
chr10	27633557	27633558	Unk..729549	-
chr10	27703296	27703297	PTCHD3	-
chr10	27793248	27793249	RAB18	+
chr10	28034777	28034778	MKX	-
chr10	28287976	28287977	ARMC4	-
chr10	28571066	28571067	MPP7	-
chr10	28821282	28821283	WAC.AS1	-
chr10	28821426	28821427	WAC	+
chr10	28966423	28966424	BAMBI	+
chr10	29084901	29084902	LINC00837	-
chr10	29577989	29577990	LYZL1	+
chr10	29698500	29698501	PTCHD3P1	+
chr10	30024729	30024730	SVIL	-
chr10	29834025	29834026	MIR604	-
chr10	29891274	29891275	MIR938	-
chr10	30348487	30348488	JCAD	-
chr10	30638266	30638267	MTPAP	-
chr10	30663376	30663377	GOLGA2P6	-
chr10	30722865	30722866	MAP3K8	+
chr10	30918646	30918647	LYZL2	-
chr10	30951269	30951270	SVILP1	+
chr10	31320865	31320866	ZNF438	-
chr10	31311745	31311746	Unk..100507663	-
chr10	31598948	31598949	Unk..100505485	-
chr10	31608023	31608024	ZEB1.AS1	-
chr10	31608100	31608101	ZEB1	+
chr10	31652752	31652753	LOC100505502	-
chr10	32217769	32217770	ARHGAP12	-
chr10	32345370	32345371	KIF5B	-
chr10	32636112	32636113	EPC1	-
chr10	32735040	32735041	Unk..221016	+
chr10	32856650	32856651	CCDC7	+
chr10	33247292	33247293	ITGB1	-
chr10	33271528	33271529	Unk..100505562	+
chr10	33623832	33623833	NRP1	-
chr10	34061629	34061630	LINC00838	-
chr10	35104252	35104253	PARD3	-
chr10	35104694	35104695	PARD3.AS1	+
chr10	35379293	35379294	CUL2	-
chr10	35415800	35415801	CREM	+
chr10	35535952	35535953	CCNY	+
chr10	35894337	35894338	GJD4	+
chr10	35930361	35930362	FZD8	-
chr10	37414784	37414785	ANKRD30A	+
chr10	37598113	37598114	Unk..100505614	+
chr10	37891858	37891859	MTRNR2L7	-
chr10	38146485	38146486	ZNF248	-
chr10	38265452	38265453	ZNF25	-
chr10	38299577	38299578	ZNF33A	+
chr10	38383263	38383264	ZNF37A	+
chr10	38464598	38464599	LOC100129055	+
chr10	38645307	38645308	HSD17B7P2	+
chr10	38691779	38691780	SEPT7P9	-
chr10	38717073	38717074	LINC00999	+
chr10	38781980	38781981	Unk..100505999	+
chr10	42357355	42357356	Unk..100507020	-
chr10	42361566	42361567	Unk..100507154	-
chr10	42367868	42367869	Unk..100507339	-
chr10	42374980	42374981	Unk..100507491	-
chr10	42377052	42377053	Unk..100507542	-
chr10	42672461	42672462	IGKV1OR10.1	+
chr10	42802405	42802406	Unk..100505652	-
chr10	42863492	42863493	LOC441666	-
chr10	42967687	42967688	CCNYL2	-
chr10	42970938	42970939	LINC00839	+
chr10	43048279	43048280	ZNF37BP	-
chr10	43133991	43133992	ZNF33B	-
chr10	43247311	43247312	Unk..100505906	+
chr10	43277953	43277954	BMS1	+
chr10	43572516	43572517	RET	+
chr10	43633933	43633934	CSGALNACT2	+
chr10	43701574	43701575	RASGEF1A	-
chr10	43867091	43867092	FXYD4	+
chr10	43904695	43904696	HNRNPF	-
chr10	43932573	43932574	ZNF487	+
chr10	44070065	44070066	ZNF239	-
chr10	44101854	44101855	ZNF485	+
chr10	44144325	44144326	ZNF32	-
chr10	44285864	44285865	HNRNPA3P1	-
chr10	44340753	44340754	LINC00619	+
chr10	44354816	44354817	LINC00840	+
chr10	44404751	44404752	LINC00841	+
chr10	44407891	44407892	Unk..100506853	+
chr10	44788203	44788204	C10orf142	+
chr10	44880544	44880545	CXCL12	-
chr10	45455136	45455137	TMEM72.AS1	-
chr10	45406763	45406764	TMEM72	+
chr10	45455218	45455219	RASSF4	+
chr10	45474329	45474330	DEPP1	-
chr10	45471740	45471741	Unk..100506913	+
chr10	45496469	45496470	C10orf25	-
chr10	45496272	45496273	ZNF22	+
chr10	45567035	45567036	Unk..100506951	-
chr10	45650043	45650044	RSU1P2	-
chr10	45650109	45650110	ANKRD30BP3	+
chr10	45659461	45659462	MIR3156.1	+
chr10	45811055	45811056	OR13A1	-
chr10	45869628	45869629	ALOX5	+
chr10	46090353	46090354	MARCH8	-
chr10	46168250	46168251	ZFAND4	-
chr10	46222647	46222648	WASHC2C	+
chr10	46342920	46342921	AGAP4	-
chr10	46411620	46411621	PARGP1	-
chr10	46641002	46641003	Unk..653129	-
chr10	46762891	46762892	Unk..728053	-
chr10	46897640	46897641	FAM35BP	+
chr10	46951471	46951472	Unk..100507539	+
chr10	46970600	46970601	SYT15	-
chr10	46993545	46993546	GPRIN2	+
chr10	47083533	47083534	NPY4R	+
chr10	47151399	47151400	LINC00842	-
chr10	47133835	47133836	HNRNPA1P33	-
chr10	47174039	47174040	ANXA8L1	-
chr10	47181687	47181688	FAM25BP	-
chr10	47213513	47213514	Unk..728127	-
chr10	47379719	47379720	FAM35DP	+
chr10	47658233	47658234	ANTXRL	+
chr10	47746919	47746920	Unk..244	+
chr10	47768350	47768351	Unk..728449	+
chr10	47894022	47894023	Unk..55747	+
chr10	48155942	48155943	CTSLP2	+
chr10	48185855	48185856	BMS1P2	+
chr10	48215723	48215724	AGAP9	+
chr10	48247661	48247662	FAM25G	+
chr10	48255224	48255225	ANXA8	+
chr10	48277507	48277508	Unk..653110	+
chr10	48355088	48355089	ZNF488	+
chr10	48390990	48390991	RBP3	-
chr10	48416852	48416853	GDF2	-
chr10	48439165	48439166	GDF10	-
chr10	48827923	48827924	PTPN20	-
chr10	48862687	48862688	FRMPD2B	-
chr10	48952628	48952629	BMS1P1	-
chr10	49207824	49207825	FAM25C	-
chr10	49239657	49239658	Unk..399753	-
chr10	49482940	49482941	FRMPD2	-
chr10	49609686	49609687	MAPK8	+
chr10	49813137	49813138	ARHGAP22	-
chr10	49893517	49893518	WDFY4	+
chr10	50122279	50122280	LRRC18	-
chr10	50193631	50193632	MIR4294	-
chr10	50323558	50323559	VSTM4	-
chr10	50329883	50329884	FAM170B.AS1	+
chr10	50342064	50342065	FAM170B	-
chr10	50396406	50396407	C10orf128	-
chr10	50506937	50506938	C10orf71.AS1	-
chr10	50507186	50507187	C10orf71	+
chr10	50599906	50599907	DRGX	-
chr10	50747146	50747147	ERCC6	-
chr10	50732358	50732359	PGBD3	-
chr10	50817140	50817141	CHAT	+
chr10	50818346	50818347	SLC18A3	+
chr10	50887683	50887684	C10orf53	+
chr10	50970424	50970425	OGDHL	-
chr10	51371330	51371331	PARG	-
chr10	51246534	51246535	Unk..728404	-
chr10	51371378	51371379	Unk..653252	+
chr10	51486326	51486327	AGAP7P	-
chr10	51549552	51549553	MSMB	+
chr10	51565107	51565108	NCOA4	+
chr10	51623335	51623336	TIMM23	-
chr10	51748077	51748078	AGAP6	+
chr10	51827683	51827684	WASHC2A	+
chr10	52008369	52008370	ASAH2	-
chr10	52383736	52383737	SGMS1	-
chr10	52499707	52499708	ASAH2B	+
chr10	52530164	52530165	Unk..100506921	-
chr10	52645434	52645435	A1CF	-
chr10	52750944	52750945	PRKG1	+
chr10	53059332	53059333	MIR605	+
chr10	53459354	53459355	CSTF2T	-
chr10	54073887	54073888	PRKG1.AS1	-
chr10	54074040	54074041	DKK1	+
chr10	54085299	54085300	Unk..100506967	-
chr10	54531459	54531460	MBL2	-
chr10	56561050	56561051	PCDH15	-
chr10	56367716	56367717	MIR548F1	-
chr10	57358749	57358750	MTRNR2L5	+
chr10	58121033	58121034	ZWINT	-
chr10	60027693	60027694	IPMK	-
chr10	60028894	60028895	CISD1	+
chr10	60094738	60094739	UBE2D1	+
chr10	60145175	60145176	TFAM	+
chr10	60272903	60272904	BICC1	+
chr10	60474774	60474775	FAM133CP	+
chr10	60759384	60759385	LINC00844	+
chr10	60936347	60936348	PHYHIPL	+
chr10	61122660	61122661	FAM13C	-
chr10	61469648	61469649	SLC16A9	-
chr10	61513202	61513203	MRLN	-
chr10	61666817	61666818	CCDC6	-
chr10	61720670	61720671	LINC01553	-
chr10	62149487	62149488	ANK3	-
chr10	62538088	62538089	CDK1	+
chr10	62761197	62761198	RHOBTB1	-
chr10	62776032	62776033	LINC00845	+
chr10	63213207	63213208	TMEM26	-
chr10	63422718	63422719	CABCOCO1	+
chr10	63661012	63661013	ARID5B	+
chr10	64028465	64028466	RTKN2	-
chr10	64133915	64133916	ZNF365	+
chr10	64564515	64564516	ADO	+
chr10	64578926	64578927	EGR2	-
chr10	64893006	64893007	NRBF2	+
chr10	65225721	65225722	JMJD1C	-
chr10	65132807	65132808	MIR1296	-
chr10	65224988	65224989	JMJD1C.AS1	+
chr10	65281122	65281123	REEP3	+
chr10	66585284	66585285	ANXA2P3	+
chr10	69455948	69455949	CTNNA3	-
chr10	68685791	68685792	LRRTM3	+
chr10	69597936	69597937	DNAJC12	-
chr10	69644426	69644427	SIRT1	+
chr10	69835102	69835103	HERC4	-
chr10	69869249	69869250	MYPN	+
chr10	69991854	69991855	ATOH7	-
chr10	70092683	70092684	PBLD	-
chr10	70091767	70091768	HNRNPH3	+
chr10	70167050	70167051	RUFY2	-
chr10	70231878	70231879	DNA2	-
chr10	70287583	70287584	SLC25A16	-
chr10	70320116	70320117	TET1	+
chr10	70392127	70392128	COX20P1	+
chr10	70480970	70480971	CCAR1	+
chr10	70514928	70514929	SNORD98	+
chr10	70519074	70519075	MIR1254.1	+
chr10	70587293	70587294	STOX1	+
chr10	70661033	70661034	DDX50	+
chr10	70715891	70715892	DDX21	+
chr10	70762818	70762819	Unk..100507126	-
chr10	70748476	70748477	KIF1BP	+
chr10	70847827	70847828	SRGN	+
chr10	70883907	70883908	VPS26A	+
chr10	70939992	70939993	SUPV3L1	+
chr10	70980058	70980059	HKDC1	+
chr10	71029755	71029756	HK1	+
chr10	71176673	71176674	TACR2	-
chr10	71211225	71211226	TSPAN15	+
chr10	71333209	71333210	NEUROG3	-
chr10	71390002	71390003	FAM241B	+
chr10	71561643	71561644	COL13A1	+
chr10	71812356	71812357	H2AFY2	+
chr10	71892689	71892690	AIFM2	-
chr10	71906495	71906496	TYSND1	-
chr10	71930284	71930285	SAR1A	-
chr10	71993189	71993190	PPA1	-
chr10	72043449	72043450	NPFFR1	-
chr10	72142381	72142382	LRRC20	-
chr10	72163860	72163861	EIF4EBP2	+
chr10	72201464	72201465	NODAL	-
chr10	72238563	72238564	PALD1	+
chr10	72362530	72362531	PRF1	-
chr10	72432558	72432559	ADAMTS14	+
chr10	72545156	72545157	TBATA	-
chr10	72575703	72575704	SGPL1	+
chr10	72648540	72648541	PCBD1	-
chr10	72972297	72972298	UNC5B	+
chr10	72977984	72977985	Unk..100507177	-
chr10	73079009	73079010	SLC29A3	+
chr10	73156690	73156691	CDH23	+
chr10	73497580	73497581	C10orf105	-
chr10	73533336	73533337	VSIR	-
chr10	73611081	73611082	PSAP	-
chr10	73724119	73724120	CHST3	+
chr10	73848789	73848790	SPOCK2	-
chr10	73975693	73975694	ASCC1	-
chr10	73975805	73975806	ANAPC16	+
chr10	73977973	73977974	Unk..100507196	+
chr10	74033676	74033677	DDIT4	+
chr10	74114906	74114907	DNAJB12	-
chr10	74385898	74385899	MICU1	-
chr10	74451888	74451889	MCU	+
chr10	74653338	74653339	OIT3	+
chr10	74714509	74714510	PLA2G12B	-
chr10	74856731	74856732	P4HA1	-
chr10	74870209	74870210	NUDT13	+
chr10	74927852	74927853	ECD	-
chr10	74927876	74927877	FAM149B1	+
chr10	75007024	75007025	DNAJC9	-
chr10	75007119	75007120	DNAJC9.AS1	+
chr10	75012450	75012451	MRPS16	-
chr10	75012548	75012549	Unk..100507212	+
chr10	75118616	75118617	CFAP70	-
chr10	75173840	75173841	ANXA7	-
chr10	75193318	75193319	MSS51	-
chr10	75255781	75255782	PPP3CB	-
chr10	75255509	75255510	Unk..100507259	+
chr10	75335432	75335433	USP54	-
chr10	75401514	75401515	MYOZ1	-
chr10	75415831	75415832	SYNPO2L	-
chr10	75457553	75457554	AGAP5	-
chr10	75490271	75490272	BMS1P4	-
chr10	75504525	75504526	Unk..100507280	-
chr10	75504131	75504132	SEC24C	+
chr10	75532048	75532049	FUT11	+
chr10	75537088	75537089	Unk..100507298	-
chr10	75536211	75536212	Unk..100507318	+
chr10	75541807	75541808	CHCHD1	+
chr10	75545604	75545605	ZSWIM8	+
chr10	75561156	75561157	ZSWIM8.AS1	-
chr10	75571588	75571589	NDST2	-
chr10	75634342	75634343	CAMK2G	-
chr10	75682534	75682535	C10orf55	-
chr10	75670861	75670862	PLAU	+
chr10	75757871	75757872	VCL	+
chr10	75910825	75910826	AP3M1	-
chr10	75910964	75910965	ADK	+
chr10	76586378	76586379	KAT6B	+
chr10	76818271	76818272	DUPD1	-
chr10	76868969	76868970	DUSP13	-
chr10	76871392	76871393	SAMD8	+
chr10	76969911	76969912	VDAC2	+
chr10	76995769	76995770	COMTD1	-
chr10	77056147	77056148	ZNF503.AS1	+
chr10	77161512	77161513	ZNF503	-
chr10	77161285	77161286	ZNF503.AS2	+
chr10	77312215	77312216	MIR606	+
chr10	77542518	77542519	LRMDA	+
chr10	79397576	79397577	KCNMA1	-
chr10	79686347	79686348	DLG5	-
chr10	79626638	79626639	Unk..100131132	+
chr10	79686569	79686570	DLG5.AS1	+
chr10	79789297	79789298	POLR3A	-
chr10	79793517	79793518	RPS24	+
chr10	80008245	80008246	LINC00856	+
chr10	80827204	80827205	ZMIZ1.AS1	-
chr10	80828791	80828792	ZMIZ1	+
chr10	81107219	81107220	PPIF	+
chr10	81205382	81205383	ZCCHC24	-
chr10	81270677	81270678	LOC729815	-
chr10	81272356	81272357	EIF5AL1	+
chr10	81320162	81320163	SFTPA2	-
chr10	81370694	81370695	SFTPA1	+
chr10	81442730	81442731	BEND3P3	+
chr10	81585657	81585658	LOC642361	+
chr10	81664653	81664654	BMS1P21	+
chr10	81679933	81679934	MBL1P	+
chr10	81708860	81708861	SFTPD	-
chr10	81838948	81838949	TMEM254.AS1	-
chr10	81838425	81838426	TMEM254	+
chr10	81892257	81892258	PLAC9	+
chr10	81965327	81965328	ANXA11	-
chr10	81967478	81967479	LINC00857	+
chr10	82009465	82009466	LOC100130698	+
chr10	82049433	82049434	MAT1A	-
chr10	82116499	82116500	DYDC1	-
chr10	82116557	82116558	DYDC2	+
chr10	82168241	82168242	FAM213A	+
chr10	82214037	82214038	TSPAN14	+
chr10	82297657	82297658	SH2D4B	+
chr10	83635069	83635070	NRG3	+
chr10	85899184	85899185	GHITM	+
chr10	85933553	85933554	C10orf99	+
chr10	85954411	85954412	CDHR1	+
chr10	85985283	85985284	LRIT2	-
chr10	86001216	86001217	LRIT1	-
chr10	86004808	86004809	RGR	+
chr10	86039735	86039736	LINC00858	+
chr10	86088409	86088410	CCSER2	+
chr10	87337487	87337488	GRID1.AS1	+
chr10	88126249	88126250	GRID1	-
chr10	88024544	88024545	MIR346	-
chr10	88281540	88281541	WAPL	-
chr10	88414313	88414314	OPN4	+
chr10	88428205	88428206	LDB3	+
chr10	88516395	88516396	BMPR1A	+
chr10	88717424	88717425	MMRN2	-
chr10	88718287	88718288	SNCG	+
chr10	88731067	88731068	ADIRF.AS1	-
chr10	88728187	88728188	ADIRF	+
chr10	88730497	88730498	AGAP11	+
chr10	88780045	88780046	FAM25A	+
chr10	88854775	88854776	GLUD1	-
chr10	88854952	88854953	FAM35A	+
chr10	88985204	88985205	NUTM2A	+
chr10	89102314	89102315	NUTM2A.AS1	-
chr10	89102167	89102168	LINC00863	+
chr10	89117476	89117477	NUTM2D	+
chr10	89264222	89264223	MINPP1	+
chr10	89419475	89419476	PAPSS2	+
chr10	89577916	89577917	ATAD1	-
chr10	89578069	89578070	CFL1P1	+
chr10	89623193	89623194	KLLN	-
chr10	89623194	89623195	PTEN	+
chr10	89745125	89745126	Unk..100507499	-
chr10	90343081	90343082	RNLS	-
chr10	90346518	90346519	LIPJ	+
chr10	90424093	90424094	LIPF	+
chr10	90484300	90484301	LIPK	+
chr10	90521162	90521163	LIPN	+
chr10	90562486	90562487	LIPM	+
chr10	90611731	90611732	ANKRD22	-
chr10	90640025	90640026	STAMBPL1	+
chr10	90692593	90692594	ACTA2.AS1	+
chr10	90751146	90751147	ACTA2	-
chr10	90750287	90750288	FAS	+
chr10	90752731	90752732	FAS.AS1	-
chr10	90967070	90967071	CH25H	-
chr10	91011659	91011660	LIPA	-
chr10	91061705	91061706	IFIT2	+
chr10	91087601	91087602	IFIT3	+
chr10	91102415	91102416	Unk..100507575	-
chr10	91137812	91137813	IFIT1B	+
chr10	91152321	91152322	IFIT1	+
chr10	91174324	91174325	IFIT5	+
chr10	91295312	91295313	SLC16A12	-
chr10	91215747	91215748	Unk..100507596	+
chr10	91405214	91405215	PANK1	-
chr10	91352583	91352584	MIR107	-
chr10	91457684	91457685	FLJ37201	-
chr10	91461366	91461367	KIF20B	+
chr10	91589312	91589313	LINC00865	+
chr10	92617670	92617671	HTR7	-
chr10	92631708	92631709	RPP30	+
chr10	92681031	92681032	ANKRD1	-
chr10	92912839	92912840	NUDT9P1	-
chr10	92980368	92980369	PCGF5	+
chr10	93299336	93299337	HECTD2.AS1	-
chr10	93170095	93170096	HECTD2	+
